Review,Liked,reviews_cleaned,reviews_cleaned_stopwords
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1,perfect for someone me who only likes beer ice cold or in this case even colder,perfect someone likes beer ice cold case even colder
Bland and flavorless is a good way of describing the barely tepid meat.,0,bland and flavorless is a good way of describing the barely tepid meat,bland flavorless good way describing barely tepid meat
"The chains, which I'm no fan of, beat this place easily.",0,the chains which i am no fan of beat this place easily,chains fan beat place easily
The nachos are a MUST HAVE!,1,the nachos are a must have,nachos must
We will not be coming back.,0,we will not be coming back,coming back
"I don't have very many words to say about this place, but it does everything pretty well.",1,i do not have very many words to say about this place but it does everything pretty well,many words say place everything pretty well
"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1,the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff,staff super nice quick even crazy crowds downtown juries lawyers court staff
"Great atmosphere, friendly and fast service.",1,great atmosphere friendly and fast service,great atmosphere friendly fast service
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1,when i received my pita it was huge it did have a lot of meat in it so thumbs up there,received pita huge lot meat thumbs
Once your food arrives it's meh.,0,once your food arrives it is meh,food arrives meh
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0,paying 7.85 for a hot dog and fries that looks like it came out of a kid 's meal at the wienerschnitzel is not my idea of a good meal,paying 7.85 hot dog fries looks like came kid 's meal wienerschnitzel idea good meal
The classic Maine Lobster Roll was fantastic.,1,the classic maine lobster roll was fantastic,classic maine lobster roll fantastic
"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0,my brother in law who works at the mall ate here same day and guess what he was sick all night too,brother law works mall ate day guess sick night
So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1,so good i am going to have to review this place twice once hereas a tribute to the place and once as a tribute to an event held here last night,good going review place twice hereas tribute place tribute event held last night
"The chips and salsa were really good, the salsa was very fresh.",1,the chips and salsa were really good the salsa was very fresh,chips salsa really good salsa fresh
This place is great!!!!!!!!!!!!!!,1,this place is great,place great
Mediocre food.,0,mediocre food,mediocre food
Once you get inside you'll be impressed with the place.,1,once you get inside you will be impressed with the place,get inside impressed place
I'm super pissd.,0,i am super pissd,super pissd
And service was super friendly.,1,and service was super friendly,service super friendly
Why are these sad little vegetables so overcooked?,0,why are these sad little vegetables so overcooked,sad little vegetables overcooked
This place was such a nice surprise!,1,this place was such a nice surprise,place nice surprise
They were golden-crispy and delicious.,1,they were golden-crispy and delicious,golden-crispy delicious
"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0,i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat
I could eat their bruschetta all day it is devine.,1,i could eat their bruschetta all day it is devine,could eat bruschetta day devine
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0,not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,single employee came see ok even needed water refill finally served us food
"Lastly, the mozzarella sticks, they were the best thing we ordered.",1,lastly the mozzarella sticks they were the best thing we ordered,lastly mozzarella sticks best thing ordered
"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1,the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,first time ever came amazing experience still tell people awesome duck
The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0,the server was very negligent of our needs and made us feel very unwelcome ... i would not suggest this place,server negligent needs made us feel unwelcome ... would suggest place
The service was terrible though.,0,the service was terrible though,service terrible though
"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0,this place is overpriced not consistent with their boba and it really is overpriced,place overpriced consistent boba really overpriced
It was packed!!,0,it was packed,packed
I love this place.,1,i love this place,love place
I can say that the desserts were yummy.,1,i can say that the desserts were yummy,say desserts yummy
The food was terrible.,0,the food was terrible,food terrible
The seasonal fruit was fresh white peach puree.,1,the seasonal fruit was fresh white peach puree,seasonal fruit fresh white peach puree
It kept getting worse and worse so now I'm officially done.,0,it kept getting worse and worse so now i am officially done,kept getting worse worse officially done
This place should honestly be blown up.,0,this place should honestly be blown up,place honestly blown
But I definitely would not eat here again.,0,but i definitely would not eat here again,definitely would eat
Do not waste your money here!,0,do not waste your money here,waste money
I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1,i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes,love put food nice plastic containers opposed cramming little paper takeout boxes
The crêpe was delicate and thin and moist.,1,the crêpe was delicate and thin and moist,crêpe delicate thin moist
Awful service.,0,awful service,awful service
Won't ever go here again.,0,will not ever go here again,ever go
Food quality has been horrible.,0,food quality has been horrible,food quality horrible
For that price I can think of a few place I would have much rather gone.,0,for that price i can think of a few place i would have much rather gone,price think place would much rather gone
The service here is fair at best.,0,the service here is fair at best,service fair best
"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0,i do love sushi but i found kabuki to be over-priced over-hip and under-services,love sushi found kabuki over-priced over-hip under-services
Do yourself a favor and stay away from this dish.,0,do yourself a favor and stay away from this dish,favor stay away dish
Very poor service.,0,very poor service,poor service
No one at the table thought the food was above average or worth the wait that we had for it.,0,no one at the table thought the food was above average or worth the wait that we had for it,one table thought food average worth wait
"Best service and food ever, Maria our server was so good and friendly she made our day.",1,best service and food ever maria our server was so good and friendly she made our day,best service food ever maria server good friendly made day
They were excellent.,1,they were excellent,excellent
I paid the bill but did not tip because I felt the server did a terrible job.,0,i paid the bill but did not tip because i felt the server did a terrible job,paid bill tip felt server terrible job
Just had lunch here and had a great experience.,1,just had lunch here and had a great experience,lunch great experience
I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,never bland food surprised considering article read focused much spices flavor
Food is way overpriced and portions are fucking small.,0,food is way overpriced and portions are fucking small,food way overpriced portions fucking small
I recently tried Caballero's and I have been back every week since!,1,i recently tried caballero 's and i have been back every week since,recently tried caballero 's back every week since
"for 40 bucks a head, i really expect better food.",0,for 40 bucks a head i really expect better food,40 bucks head really expect better food
The food came out at a good pace.,1,the food came out at a good pace,food came good pace
"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1,i ate there twice on my last visit and especially enjoyed the salmon salad,ate twice last visit especially enjoyed salmon salad
I won't be back.,0,i will not be back,back
We could not believe how dirty the oysters were!,0,we could not believe how dirty the oysters were,could believe dirty oysters
This place deserves no stars.,0,this place deserves no stars,place deserves stars
I would not recommend this place.,0,i would not recommend this place,would recommend place
"In fact I'm going to round up to 4 stars, just because she was so awesome.",1,in fact i am going to round up to 4 stars just because she was so awesome,fact going round 4 stars awesome
"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0,to my disbelief each dish qualified as the worst version of these foods i have ever tasted,disbelief dish qualified worst version foods ever tasted
"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0,bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise,bad day low tolerance rude customer service people job nice polite wash dishes otherwise
the potatoes were great and so was the biscuit.,1,the potatoes were great and so was the biscuit,potatoes great biscuit
I probably would not go here again.,0,i probably would not go here again,probably would go
So flavorful and has just the perfect amount of heat.,1,so flavorful and has just the perfect amount of heat,flavorful perfect amount heat
The price is reasonable and the service is great.,1,the price is reasonable and the service is great,price reasonable service great
"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0,the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,wife hated meal coconut shrimp friends really enjoy meals either
My fella got the huevos rancheros and they didn't look too appealing.,0,my fella got the huevos rancheros and they did not look too appealing,fella got huevos rancheros look appealing
"Went in for happy hour, great list of wines.",1,went in for happy hour great list of wines,went happy hour great list wines
Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1,some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot,may say buffet pricey think get pay place getting quite lot
I probably won't be coming back here.,0,i probably will not be coming back here,probably coming back
Worst food/service I've had in a while.,0,worst food/service i have had in a while,worst food/service
"This place is pretty good, nice little vibe in the restaurant.",1,this place is pretty good nice little vibe in the restaurant,place pretty good nice little vibe restaurant
Talk about great customer service of course we will be back.,1,talk about great customer service of course we will be back,talk great customer service course back
"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0,hot dishes are not hot cold dishes are close to room temp.i watched staff prepare food with bare hands no gloves.everything is deep fried in oil,hot dishes hot cold dishes close room temp.i watched staff prepare food bare hands gloves.everything deep fried oil
I love their fries and their beans.,1,i love their fries and their beans,love fries beans
Always a pleasure dealing with him.,1,always a pleasure dealing with him,always pleasure dealing
"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1,they have a plethora of salads and sandwiches and everything i have tried gets my seal of approval,plethora salads sandwiches everything tried gets seal approval
This place is awesome if you want something light and healthy during the summer.,1,this place is awesome if you want something light and healthy during the summer,place awesome want something light healthy summer
"For sushi on the Strip, this is the place to go.",1,for sushi on the strip this is the place to go,sushi strip place go
"The service was great, even the manager came and helped with our table.",1,the service was great even the manager came and helped with our table,service great even manager came helped table
The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0,the feel of the dining room was more college cooking course than high class dining and the service was slow at best,feel dining room college cooking course high class dining service slow best
"I started this review with two stars, but I'm editing it to give it only one.",0,i started this review with two stars but i am editing it to give it only one,started review two stars editing give one
this is the worst sushi i have ever eat besides Costco's.,0,this is the worst sushi i have ever eat besides costco 's,worst sushi ever eat besides costco 's
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1,all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,excellent restaurant highlighted great service unique menu beautiful setting
My boyfriend and i sat at the bar and had a completely delightful experience.,1,my boyfriend and i sat at the bar and had a completely delightful experience,boyfriend sat bar completely delightful experience
Weird vibe from owners.,0,weird vibe from owners,weird vibe owners
There was hardly any meat.,0,there was hardly any meat,hardly meat
I've had better bagels from the grocery store.,0,i have had better bagels from the grocery store,better bagels grocery store
Go To Place for Gyros.,1,go to place for gyros,go place gyros
"I love the owner/chef, his one authentic Japanese cool dude!",1,i love the owner/chef his one authentic japanese cool dude,love owner/chef one authentic japanese cool dude
"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0,now the burgers are not as good the pizza which used to be amazing is doughy and flavorless,burgers good pizza used amazing doughy flavorless
I found a six inch long piece of wire in my salsa.,0,i found a six inch long piece of wire in my salsa,found six inch long piece wire salsa
"The service was terrible, food was mediocre.",0,the service was terrible food was mediocre,service terrible food mediocre
We definately enjoyed ourselves.,1,we definately enjoyed ourselves,definately enjoyed
I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0,i ordered albondigas soup which was just warm and tasted like tomato soup with frozen meatballs,ordered albondigas soup warm tasted like tomato soup frozen meatballs
"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0,on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate,three different occasions asked well done medium well three times got bloodiest piece meat plate
I had about two bites and refused to eat anymore.,0,i had about two bites and refused to eat anymore,two bites refused eat anymore
The service was extremely slow.,0,the service was extremely slow,service extremely slow
"After 20 minutes wait, I got a table.",0,after 20 minutes wait i got a table,20 minutes wait got table
Seriously killer hot chai latte.,1,seriously killer hot chai latte,seriously killer hot chai latte
"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts,allergy warnings menu waitress absolutely clue meals contain peanuts
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,my boyfriend tried the mediterranean chicken salad and fell in love,boyfriend tried mediterranean chicken salad fell love
Their rotating beers on tap is also a highlight of this place.,1,their rotating beers on tap is also a highlight of this place,rotating beers tap also highlight place
Pricing is a bit of a concern at Mellow Mushroom.,0,pricing is a bit of a concern at mellow mushroom,pricing bit concern mellow mushroom
Worst Thai ever.,0,worst thai ever,worst thai ever
If you stay in Vegas you must get breakfast here at least once.,1,if you stay in vegas you must get breakfast here at least once,stay vegas must get breakfast least
I want to first say our server was great and we had perfect service.,1,i want to first say our server was great and we had perfect service,want first say server great perfect service
The pizza selections are good.,1,the pizza selections are good,pizza selections good
"I had strawberry tea, which was good.",1,i had strawberry tea which was good,strawberry tea good
Highly unprofessional and rude to a loyal patron!,0,highly unprofessional and rude to a loyal patron,highly unprofessional rude loyal patron
"Overall, a great experience.",1,overall a great experience,overall great experience
